хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2018-01-24,'002918,цидхюЖи╞,53.88,54.28,52.81,53.56,53.41,0.47,0.88,9.1055,3590287,193067288.39,8497953600.0,2124488400.0
2018-01-23,'002918,цидхюЖи╞,53.41,53.43,52.25,52.6,52.54,0.87,1.6559,8.571,3379560,178655780.47,8423825200.0,2105956300.0
2018-01-22,'002918,цидхюЖи╞,52.54,53.28,51.77,52.78,53.68,-1.14,-2.1237,9.6923,3821674,200307613.51,8286608800.0,2071652200.0
2018-01-19,'002918,цидхюЖи╞,53.68,54.75,53.48,53.79,53.83,-0.15,-0.2787,9.0296,3560383,192858751.03,8466409600.0,2116602400.0
2018-01-18,'002918,цидхюЖи╞,53.83,54.83,53.72,54.42,54.25,-0.42,-0.7742,7.7319,3048674,165334828.17,8490067600.0,2122516900.0
2018-01-17,'002918,цидхюЖи╞,54.25,54.8,53.01,54.08,53.86,0.39,0.7241,10.3645,4086720,220832738.67,8556310000.0,2139077500.0
2018-01-16,'002918,цидхюЖи╞,53.86,54.87,52.61,52.61,52.83,1.03,1.9496,10.6252,4189518,226416233.81,8494799200.0,2123699800.0
2018-01-15,'002918,цидхюЖи╞,52.83,56.45,52.23,56.04,56.84,-4.01,-7.0549,16.2406,6403672,349078793.38,8332347600.0,2083086900.0
2018-01-12,'002918,цидхюЖи╞,56.84,59.78,56.8,59.58,59.87,-3.03,-5.061,20.467,8070138,468502711.7,8964804800.0,2241201200.0
2018-01-11,'002918,цидхюЖи╞,59.87,60.98,58.79,60.0,60.5,-0.63,-1.0413,19.6833,7761114,465723192.34,9442696400.0,2360674100.0
2018-01-10,'002918,цидхюЖи╞,60.5,60.96,57.38,58.02,58.26,2.24,3.8448,25.0056,9859700,587821922.72,9542060000.0,2385515000.0
2018-01-09,'002918,цидхюЖи╞,58.26,59.29,57.23,59.18,59.3,-1.04,-1.7538,16.9152,6669680,388772608.07,9188767200.0,2297191800.0
2018-01-08,'002918,цидхюЖи╞,59.3,61.54,58.21,58.21,57.89,1.41,2.4357,23.0927,9105453,544765536.07,9352796000.0,2338199000.0
2018-01-05,'002918,цидхюЖи╞,57.89,58.97,55.8,56.2,56.66,1.23,2.1708,22.7913,8986603,516856576.43,9130410800.0,2282602700.0
2018-01-04,'002918,цидхюЖи╞,56.66,58.44,56.08,56.8,57.55,-0.89,-1.5465,16.1156,6354371,361762863.26,8936415200.0,2234103800.0
2018-01-03,'002918,цидхюЖи╞,57.55,58.97,54.51,56.49,56.78,0.77,1.3561,26.0979,10290407,578544591.85,9076786000.0,2269196500.0
2018-01-02,'002918,цидхюЖи╞,56.78,57.66,55.61,56.2,55.7,1.08,1.939,17.3984,6860197,390330311.99,8955341600.0,2238835400.0
2017-12-29,'002918,цидхюЖи╞,55.7,60.34,55.01,60.11,60.76,-5.06,-8.3278,32.5411,12830944,735625455.19,8785004000.0,2196251000.0
2017-12-28,'002918,цидхюЖи╞,60.76,64.07,60.0,62.51,64.97,-4.21,-6.4799,37.3045,14709156,912708892.72,9583067200.0,2395766800.0
2017-12-27,'002918,цидхюЖи╞,64.97,67.2,60.38,61.69,61.41,3.56,5.7971,49.3803,19470669,1247473514.94,10247068400.0,2561767100.0
2017-12-26,'002918,цидхюЖи╞,61.41,63.51,57.31,58.0,60.7,0.71,1.1697,39.8604,15716970,957459200.1,9685585200.0,2421396300.0
2017-12-25,'002918,цидхюЖи╞,60.7,64.84,58.88,61.0,59.98,0.72,1.2004,50.5136,19917520,1231393243.62,9573604000.0,2393401000.0
2017-12-22,'002918,цидхюЖи╞,59.98,59.98,56.01,59.98,54.53,5.45,9.9945,40.325,15900128,935284065.56,9460045600.0,2365011400.0
2017-12-21,'002918,цидхюЖи╞,54.53,54.53,54.53,54.53,49.57,4.96,10.0061,0.1115,43982,2398338.46,8600471600.0,2150117900.0
2017-12-20,'002918,цидхюЖи╞,49.57,49.57,49.57,49.57,45.06,4.51,10.0089,0.046,18152,899794.64,7818180400.0,1954545100.0
2017-12-19,'002918,Nцидх,45.06,45.06,37.55,37.55,31.29,13.77,44.0077,0.0768,30289,1358441.34,7106863200.0,1776715800.0
