日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2009-09-09,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61839808.8,16078350.288
2009-09-08,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61846125.0,16079992.5
2009-09-07,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61849634.0,16080904.84
2009-09-04,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61851037.6,16081269.776
2009-09-03,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61845423.2,16079810.032
2009-09-02,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61855248.4,16082364.584
2009-09-01,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61849634.0,16080904.84
2009-08-31,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61851739.4,16081452.244
2009-08-28,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61848230.4,16080539.904
2009-08-27,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61860161.0,16083641.86
2009-08-26,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61858055.6,16083094.456
2009-08-25,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61856652.0,16082729.52
2009-08-24,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61848230.4,16080539.904
2009-08-21,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61849634.0,16080904.84
2009-08-20,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61852441.2,16081634.712
2009-08-19,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61859459.2,16083459.392
2009-08-18,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61878407.8,16088386.028
2009-08-17,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61876302.4,16087838.624
2009-08-14,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61869284.4,16086013.944
2009-08-13,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61882618.6,16089480.836
2009-08-12,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61891040.2,16091670.452
2009-08-11,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61893847.4,16092400.324
2009-08-10,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61886829.4,16090575.644
2009-08-07,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61860862.8,16083824.328
2009-08-06,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61852441.2,16081634.712
2009-08-05,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61853844.8,16081999.648
2009-08-04,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61851037.6,16081269.776
2009-08-03,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61857353.8,16082911.988
2009-07-31,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61869284.4,16086013.944
2009-07-30,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61880513.2,16088933.432
2009-07-29,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61861564.6,16084006.796
2009-07-28,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61856652.0,16082729.52
2009-07-27,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61862266.4,16084189.264
2009-07-24,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61865073.6,16084919.136
2009-07-23,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61855248.4,16082364.584
2009-07-22,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61856652.0,16082729.52
2009-07-21,'200041,*ST本实B,0.0,0.0,0.0,0.0,1.16,None,None,0.0,0,0.0,61858055.6,16083094.456
