»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-01-24,'300618,∫Æ»ÒÓ‹“µ,318.58,319.33,293.74,293.78,296.92,21.66,7.2949,9.2586,2777593,852306403.31,38229600000.0,9557400000.0
2018-01-23,'300618,∫Æ»ÒÓ‹“µ,296.92,301.1,291.01,300.0,287.38,9.54,3.3196,8.0826,2424790,719542086.25,35630400000.0,8907600000.0
2018-01-22,'300618,∫Æ»ÒÓ‹“µ,287.38,294.8,284.1,291.01,288.06,-0.68,-0.2361,6.0918,1827534,529496606.09,34485600000.0,8621400000.0
2018-01-19,'300618,∫Æ»ÒÓ‹“µ,288.06,293.8,269.2,275.26,275.96,12.1,4.3847,8.8706,2661175,756045323.38,34567200000.0,8641800000.0
2018-01-18,'300618,∫Æ»ÒÓ‹“µ,275.96,279.79,273.2,273.2,272.62,3.34,1.2251,5.2424,1572712,434998722.19,33115200000.0,8278800000.0
2018-01-17,'300618,∫Æ»ÒÓ‹“µ,272.62,292.0,265.0,292.0,292.78,-20.16,-6.8857,11.2982,3389460,936312724.35,32714400000.0,8178600000.0
2018-01-16,'300618,∫Æ»ÒÓ‹“µ,292.78,294.2,278.0,278.0,280.5,12.28,4.3779,8.8617,2658524,764543288.37,35133600000.0,8783400000.0
2018-01-15,'300618,∫Æ»ÒÓ‹“µ,280.5,292.0,275.58,286.23,288.0,-7.5,-2.6042,8.957,2687085,759948065.84,33660000000.0,8415000000.0
2018-01-12,'300618,∫Æ»ÒÓ‹“µ,288.0,295.0,286.7,293.87,297.0,-9.0,-3.0303,6.2307,1869214,541936028.79,34560000000.0,8640000000.0
2018-01-11,'300618,∫Æ»ÒÓ‹“µ,297.0,306.97,288.0,299.58,295.84,1.16,0.3921,9.4338,2830152,843397008.03,35640000000.0,8910000000.0
2018-01-10,'300618,∫Æ»ÒÓ‹“µ,295.84,296.0,284.0,286.5,288.0,7.84,2.7222,8.1431,2442941,709863870.49,35500800000.0,8875200000.0
2018-01-09,'300618,∫Æ»ÒÓ‹“µ,288.0,301.0,283.03,286.37,288.96,-0.96,-0.3322,11.5771,3473120,1009430883.29,34560000000.0,8640000000.0
2018-01-08,'300618,∫Æ»ÒÓ‹“µ,288.96,292.32,263.26,266.3,267.9,21.06,7.8611,15.2415,4572455,1274667041.23,34675200000.0,8668800000.0
2018-01-05,'300618,∫Æ»ÒÓ‹“µ,267.9,274.78,248.0,248.0,249.8,18.1,7.2458,17.9352,5380548,1418767533.33,32148000000.0,8037000000.0
2018-01-04,'300618,∫Æ»ÒÓ‹“µ,249.8,250.69,236.0,237.75,240.38,9.42,3.9188,15.5036,4651084,1143849943.69,29976000000.0,7494000000.0
2018-01-03,'300618,∫Æ»ÒÓ‹“µ,240.38,247.5,232.48,232.5,233.15,7.23,3.101,14.2137,4264107,1031236543.82,28845600000.0,7211400000.0
2018-01-02,'300618,∫Æ»ÒÓ‹“µ,233.15,237.9,227.2,234.01,235.77,-2.62,-1.1113,8.4553,2536577,587056424.65,27978000000.0,6994500000.0
2017-12-29,'300618,∫Æ»ÒÓ‹“µ,235.77,236.74,227.84,233.0,237.0,-1.23,-0.519,8.061,2418293,562395395.64,28292400000.0,7073100000.0
2017-12-28,'300618,∫Æ»ÒÓ‹“µ,237.0,243.0,234.05,239.0,245.48,-8.48,-3.4545,9.2145,2764341,659849116.29,28440000000.0,7110000000.0
2017-12-27,'300618,∫Æ»ÒÓ‹“µ,245.48,253.0,240.99,240.99,242.0,3.48,1.438,10.7373,3221201,799179675.85,29457600000.0,7364400000.0
2017-12-26,'300618,∫Æ»ÒÓ‹“µ,242.0,243.14,236.38,241.04,243.3,-1.3,-0.5343,6.4108,1923234,462561337.84,29040000000.0,7260000000.0
2017-12-25,'300618,∫Æ»ÒÓ‹“µ,243.3,249.0,237.01,244.18,246.2,-2.9,-1.1779,9.5638,2869151,698125383.3,29196000000.0,7299000000.0
2017-12-22,'300618,∫Æ»ÒÓ‹“µ,246.2,247.0,242.03,244.0,245.67,0.53,0.2157,8.7671,2630126,644755304.16,29544000000.0,7386000000.0
2017-12-21,'300618,∫Æ»ÒÓ‹“µ,245.67,246.6,228.18,230.18,228.86,16.81,7.3451,14.5546,4366368,1051223745.78,29480400000.0,7370100000.0
2017-12-20,'300618,∫Æ»ÒÓ‹“µ,228.86,232.95,226.08,226.89,225.98,2.88,1.2744,8.7833,2634977,604259397.2,27463200000.0,6865800000.0
2017-12-19,'300618,∫Æ»ÒÓ‹“µ,225.98,230.99,218.02,228.0,227.0,-1.02,-0.4493,10.1435,3043047,681150543.52,27117600000.0,6779400000.0
2017-12-18,'300618,∫Æ»ÒÓ‹“µ,227.0,238.43,222.01,230.6,236.6,-9.6,-4.0575,10.2513,3075377,706311527.6,27240000000.0,6810000000.0
2017-12-15,'300618,∫Æ»ÒÓ‹“µ,236.6,247.53,231.85,244.5,244.98,-8.38,-3.4207,11.0867,3326011,792545398.85,28392000000.0,7098000000.0
2017-12-14,'300618,∫Æ»ÒÓ‹“µ,244.98,248.55,243.03,243.03,242.6,2.38,0.981,9.3982,2819464,692728832.88,29397600000.0,7349400000.0
2017-12-13,'300618,∫Æ»ÒÓ‹“µ,242.6,246.9,239.26,246.9,250.01,-7.41,-2.9639,12.0982,3629470,879076939.61,29112000000.0,7278000000.0
2017-12-12,'300618,∫Æ»ÒÓ‹“µ,250.01,255.01,239.0,242.74,243.52,6.49,2.6651,16.9788,5093634,1260663237.12,30001200000.0,7500300000.0
2017-12-11,'300618,∫Æ»ÒÓ‹“µ,243.52,248.9,240.12,243.01,238.5,5.02,2.1048,11.7261,3517827,860922508.09,29222400000.0,7305600000.0
2017-12-08,'300618,∫Æ»ÒÓ‹“µ,238.5,246.95,233.01,233.01,231.5,7.0,3.0238,14.3991,4319742,1037065071.27,28620000000.0,7155000000.0
2017-12-07,'300618,∫Æ»ÒÓ‹“µ,231.5,251.97,227.5,249.0,250.5,-19.0,-7.5848,17.4845,5245352,1250882969.91,27780000000.0,6945000000.0
2017-12-06,'300618,∫Æ»ÒÓ‹“µ,250.5,250.5,239.01,242.3,242.0,8.5,3.5124,14.3702,4311069,1059469894.91,30060000000.0,7515000000.0
2017-12-05,'300618,∫Æ»ÒÓ‹“µ,242.0,255.49,237.0,249.36,251.0,-9.0,-3.5857,13.9028,4170837,1021606833.04,29040000000.0,7260000000.0
2017-12-04,'300618,∫Æ»ÒÓ‹“µ,251.0,258.7,244.86,253.0,258.9,-7.9,-3.0514,15.3425,4602752,1157561397.4,30120000000.0,7530000000.0
2017-12-01,'300618,∫Æ»ÒÓ‹“µ,258.9,266.58,235.34,238.74,242.99,15.91,6.5476,18.6787,5603615,1395635134.24,31068000000.0,7767000000.0
2017-11-30,'300618,∫Æ»ÒÓ‹“µ,242.99,244.6,233.8,240.99,239.66,3.33,1.3895,13.7078,4112337,986634757.02,29158800000.0,7289700000.0
2017-11-29,'300618,∫Æ»ÒÓ‹“µ,239.66,243.88,234.0,238.99,233.84,5.82,2.4889,17.3607,5208210,1242105450.55,28759200000.0,7189800000.0
2017-11-28,'300618,∫Æ»ÒÓ‹“µ,233.84,233.84,206.5,208.52,212.58,21.26,10.0009,18.4368,5531035,1233689405.73,28060800000.0,7015200000.0
2017-11-27,'300618,∫Æ»ÒÓ‹“µ,212.58,239.9,212.58,236.0,236.2,-23.62,-10.0,15.9449,4783464,1076192854.3,25509600000.0,6377400000.0
2017-11-24,'300618,∫Æ»ÒÓ‹“µ,236.2,243.0,224.01,231.0,230.3,5.9,2.5619,14.2778,4283325,1009895217.85,28344000000.0,7086000000.0
2017-11-23,'300618,∫Æ»ÒÓ‹“µ,230.3,244.3,225.0,225.01,226.89,3.41,1.5029,18.0803,5424083,1280709032.9,27636000000.0,6909000000.0
2017-11-22,'300618,∫Æ»ÒÓ‹“µ,226.89,229.53,215.3,218.0,216.45,10.44,4.8233,16.2168,4865053,1083670778.06,27226800000.0,6806700000.0
