ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2018-01-24,'603027,วงบฬฮถาต,18.24,18.35,17.92,18.08,17.89,0.35,1.9564,2.104,2802260,50796806.0,5945970048.0,2429390561.28
2018-01-23,'603027,วงบฬฮถาต,17.89,18.38,17.7,18.28,18.23,-0.34,-1.8651,2.6613,3544606,63448857.0,5831875228.0,2382773966.08
2018-01-22,'603027,วงบฬฮถาต,18.23,18.27,17.92,18.11,18.07,0.16,0.8854,1.4376,1914800,34686585.0,5942710196.0,2428058658.56
2018-01-19,'603027,วงบฬฮถาต,18.07,18.41,18.03,18.3,18.27,-0.2,-1.0947,1.1062,1473400,26740856.0,5890552564.0,2406748215.04
2018-01-18,'603027,วงบฬฮถาต,18.27,18.83,18.22,18.71,18.8,-0.53,-2.8191,1.5765,2099800,38677628.0,5955749604.0,2433386269.44
2018-01-17,'603027,วงบฬฮถาต,18.8,18.86,18.45,18.5,18.7,0.1,0.5348,1.2128,1615350,30150578.0,6128521760.0,2503977113.6
2018-01-16,'603027,วงบฬฮถาต,18.7,19.0,18.53,18.83,18.85,-0.15,-0.7958,1.1737,1563257,29296259.0,6095923240.0,2490658086.4
2018-01-15,'603027,วงบฬฮถาต,18.85,19.26,18.58,19.02,19.29,-0.44,-2.281,1.8337,2442300,46075317.0,6144821020.0,2510636627.2
2018-01-12,'603027,วงบฬฮถาต,19.29,19.35,18.82,19.07,19.07,0.22,1.1536,1.4897,1984123,37911403.0,6288254508.0,2569240346.88
2018-01-11,'603027,วงบฬฮถาต,19.07,19.31,19.01,19.31,19.31,-0.24,-1.2429,0.9462,1260300,24115754.0,6216537764.0,2539938487.04
2018-01-10,'603027,วงบฬฮถาต,19.31,19.73,19.12,19.58,19.51,-0.2,-1.0251,1.0031,1336000,25883849.0,6294774212.0,2571904152.32
2018-01-09,'603027,วงบฬฮถาต,19.51,19.6,19.2,19.21,19.25,0.26,1.3506,1.0605,1412529,27521274.0,6359971252.0,2598542206.72
2018-01-08,'603027,วงบฬฮถาต,19.25,19.6,18.94,19.38,19.38,-0.13,-0.6708,0.8952,1192329,22902316.0,6275215100.0,2563912736.0
2018-01-05,'603027,วงบฬฮถาต,19.38,19.55,19.18,19.32,19.31,0.07,0.3625,1.0751,1431901,27770696.0,6317593176.0,2581227471.36
2018-01-04,'603027,วงบฬฮถาต,19.31,19.42,19.11,19.26,19.26,0.05,0.2596,1.2713,1693249,32648097.0,6294774212.0,2571904152.32
2018-01-03,'603027,วงบฬฮถาต,19.26,19.45,18.41,18.5,18.5,0.76,4.1081,2.6686,3554326,68025503.0,6278474952.0,2565244638.72
2018-01-02,'603027,วงบฬฮถาต,18.5,18.58,17.99,18.08,17.99,0.51,2.8349,1.5986,2129225,39120862.0,6030726200.0,2464020032.0
2017-12-29,'603027,วงบฬฮถาต,17.99,18.24,17.87,18.05,17.9,0.09,0.5028,1.2261,1633000,29371434.0,5864473748.0,2396092993.28
2017-12-28,'603027,วงบฬฮถาต,17.9,18.05,17.72,17.88,17.97,-0.07,-0.3895,1.1573,1541400,27630411.0,5835135080.0,2384105868.8
2017-12-27,'603027,วงบฬฮถาต,17.97,18.27,17.88,18.04,17.96,0.01,0.0557,1.5741,2096500,37857274.0,5857954044.0,2393429187.84
2017-12-26,'603027,วงบฬฮถาต,17.96,18.74,17.7,18.69,18.69,-0.73,-3.9058,4.2352,5640901,101572496.0,5854694192.0,2392097285.12
2017-12-25,'603027,วงบฬฮถาต,18.69,19.44,18.5,19.16,19.15,-0.46,-2.4021,1.6305,2171662,41144777.0,6092663388.0,2489326183.68
2017-12-22,'603027,วงบฬฮถาต,19.15,19.55,19.13,19.4,19.31,-0.16,-0.8286,1.8267,2432964,47060515.0,6242616580.0,2550593708.8
2017-12-21,'603027,วงบฬฮถาต,19.31,19.69,19.21,19.66,19.64,-0.33,-1.6802,1.3601,1811500,35110416.0,6294774212.0,2571904152.32
2017-12-20,'603027,วงบฬฮถาต,19.64,19.83,19.33,19.67,19.72,-0.08,-0.4057,1.3545,1804000,35330398.0,6402349328.0,2615856942.08
2017-12-19,'603027,วงบฬฮถาต,19.72,20.05,19.51,19.7,19.73,-0.01,-0.0507,0.8638,1150529,22720268.0,6428428144.0,2626512163.84
2017-12-18,'603027,วงบฬฮถาต,19.73,19.82,18.83,19.16,19.14,0.59,3.0825,2.2442,2989055,57953711.0,6431687996.0,2627844066.56
2017-12-15,'603027,วงบฬฮถาต,19.14,19.46,19.05,19.28,19.47,-0.33,-1.6949,0.9239,1230521,23600810.0,6239356728.0,2549261806.08
2017-12-14,'603027,วงบฬฮถาต,19.47,19.86,19.28,19.81,19.86,-0.39,-1.9637,1.2755,1698900,33103191.0,6230400000.0,2593214595.84
2017-12-13,'603027,วงบฬฮถาต,19.86,20.09,19.68,19.8,19.73,0.13,0.6589,0.76,1012200,20102890.0,6355200000.0,2645158801.92
2017-12-12,'603027,วงบฬฮถาต,19.73,20.37,19.7,20.29,20.29,-0.56,-2.76,1.389,1850000,36946105.0,6313600000.0,2627844066.56
2017-12-11,'603027,วงบฬฮถาต,20.29,20.83,19.04,19.04,19.04,1.25,6.5651,3.2517,4330983,86460723.0,6492800000.0,2702430618.88
2017-12-08,'603027,วงบฬฮถาต,19.04,19.2,18.5,18.69,18.58,0.46,2.4758,1.1629,1548904,29397207.0,6092800000.0,2535942778.88
2017-12-07,'603027,วงบฬฮถาต,18.58,18.6,18.38,18.55,18.54,0.04,0.2157,0.4152,553048,10232923.0,5945600000.0,2474675253.76
2017-12-06,'603027,วงบฬฮถาต,18.54,18.9,18.2,18.58,18.64,-0.1,-0.5365,0.6138,817500,15158666.0,5932800000.0,2469347642.88
2017-12-05,'603027,วงบฬฮถาต,18.64,18.87,18.4,18.55,18.56,0.08,0.431,1.2632,1682500,31314539.0,5964800000.0,2482666670.08
2017-12-04,'603027,วงบฬฮถาต,18.56,18.76,18.4,18.7,18.65,-0.09,-0.4826,0.8651,1152248,21402936.0,5939200000.0,2472011448.32
2017-12-01,'603027,วงบฬฮถาต,18.65,18.79,18.04,18.2,18.27,0.38,2.0799,1.0079,1342429,24873123.0,5968000000.0,2483998572.8
2017-11-30,'603027,วงบฬฮถาต,18.27,18.68,18.22,18.44,18.6,-0.33,-1.7742,1.2297,1637900,30261898.0,5846400000.0,2433386269.44
2017-11-29,'603027,วงบฬฮถาต,18.6,18.66,17.61,18.26,18.25,0.35,1.9178,2.6845,3575450,64803897.0,5952000000.0,2477339059.2
2017-11-28,'603027,วงบฬฮถาต,18.25,18.44,17.5,17.96,18.93,-0.68,-3.5922,3.0753,4095970,74240613.0,5840000000.0,2430722464.0
2017-11-27,'603027,วงบฬฮถาต,18.93,19.3,18.88,19.2,19.27,-0.34,-1.7644,0.9672,1288216,24625580.0,6057600000.0,2521291848.96
2017-11-24,'603027,วงบฬฮถาต,19.27,19.54,18.81,19.3,19.31,-0.04,-0.2071,1.4685,1955871,37461220.0,6166400000.0,2566576541.44
2017-11-23,'603027,วงบฬฮถาต,19.31,20.67,19.02,20.48,20.48,-1.17,-5.7129,4.2899,5713778,112360473.0,6179200000.0,2571904152.32
