ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-01-24,'603919,½ð»Õ¾Æ,19.18,19.24,18.99,19.22,19.22,-0.04,-0.2081,1.393,1613617,30795411.0,6981520000.0,2221781471.0
2018-01-23,'603919,½ð»Õ¾Æ,19.22,19.55,19.12,19.46,19.58,-0.36,-1.8386,2.2973,2661199,51180914.0,6996080000.0,2226415009.0
2018-01-22,'603919,½ð»Õ¾Æ,19.58,20.05,19.46,19.51,19.63,-0.05,-0.2547,3.0376,3518740,69381701.0,7127120000.0,2268116851.0
2018-01-19,'603919,½ð»Õ¾Æ,19.63,19.66,19.16,19.41,19.59,0.04,0.2042,2.5426,2945286,57035683.0,7145320000.0,2273908773.5
2018-01-18,'603919,½ð»Õ¾Æ,19.59,19.62,18.72,18.78,19.0,0.59,3.1053,4.0188,4655360,90200532.0,7130760000.0,2269275235.5
2018-01-17,'603919,½ð»Õ¾Æ,19.0,19.16,18.74,18.91,19.14,-0.14,-0.7315,2.3713,2746846,52027968.0,6916000000.0,2200930550.0
2018-01-16,'603919,½ð»Õ¾Æ,19.14,19.29,18.3,18.5,18.6,0.54,2.9032,4.0541,4696188,89157141.0,6966960000.0,2217147933.0
2018-01-15,'603919,½ð»Õ¾Æ,18.6,19.1,18.46,18.55,18.55,0.05,0.2695,3.1726,3675133,69101947.0,6770400000.0,2154595170.0
2018-01-12,'603919,½ð»Õ¾Æ,18.55,18.64,18.3,18.45,18.46,0.09,0.4875,1.2809,1483780,27395177.0,6752200000.0,2148803247.5
2018-01-11,'603919,½ð»Õ¾Æ,18.46,18.65,18.3,18.6,18.65,-0.19,-1.0188,1.0073,1166810,21459915.0,6719440000.0,2138377787.0
2018-01-10,'603919,½ð»Õ¾Æ,18.65,18.75,18.45,18.7,18.81,-0.16,-0.8506,1.7863,2069170,38387823.0,6788600000.0,2160387092.5
2018-01-09,'603919,½ð»Õ¾Æ,18.81,19.27,18.46,18.46,18.57,0.24,1.2924,2.7041,3132399,59064644.0,6846840000.0,2178921244.5
2018-01-08,'603919,½ð»Õ¾Æ,18.57,18.66,18.33,18.52,18.52,0.05,0.27,1.2294,1424140,26307327.0,6759480000.0,2151120016.5
2018-01-05,'603919,½ð»Õ¾Æ,18.52,18.68,18.41,18.5,18.59,-0.07,-0.3765,1.1212,1298789,24012758.0,6741280000.0,2145328094.0
2018-01-04,'603919,½ð»Õ¾Æ,18.59,18.94,18.3,18.41,18.39,0.2,1.0875,2.1467,2486740,46392936.0,6766760000.0,2153436785.5
2018-01-03,'603919,½ð»Õ¾Æ,18.39,18.41,18.06,18.19,18.21,0.18,0.9885,1.1115,1287573,23511196.0,6693960000.0,2130269095.5
2018-01-02,'603919,½ð»Õ¾Æ,18.21,18.23,17.9,17.9,18.05,0.16,0.8864,0.7662,887596,16063945.0,6628440000.0,2109418174.5
2017-12-29,'603919,½ð»Õ¾Æ,18.05,18.3,17.97,18.16,18.19,-0.14,-0.7697,0.9483,1098530,19859834.0,6570200000.0,2090884022.5
2017-12-28,'603919,½ð»Õ¾Æ,18.19,18.37,18.04,18.04,18.05,0.14,0.7756,0.9039,1047054,19089852.0,6621160000.0,2107101405.5
2017-12-27,'603919,½ð»Õ¾Æ,18.05,18.38,17.95,18.38,18.35,-0.3,-1.6349,1.0043,1163336,21179256.0,6570200000.0,2090884022.5
2017-12-26,'603919,½ð»Õ¾Æ,18.35,18.5,18.18,18.22,18.29,0.06,0.328,0.7883,913110,16732560.0,6679400000.0,2125635557.5
2017-12-25,'603919,½ð»Õ¾Æ,18.29,18.73,18.25,18.59,18.48,-0.19,-1.0281,0.8389,971730,17918791.0,6657560000.0,2118685250.5
2017-12-22,'603919,½ð»Õ¾Æ,18.48,18.87,18.42,18.73,18.86,-0.38,-2.0148,1.182,1369250,25390576.0,6726720000.0,2140694556.0
2017-12-21,'603919,½ð»Õ¾Æ,18.86,19.1,18.45,18.47,18.49,0.37,2.0011,3.9461,4571091,86145617.0,6865040000.0,2184713167.0
