�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2018-01-24,'603987,艙肅應,12.62,13.1,12.33,12.39,12.39,0.23,1.8563,2.3904,4543510,57554632.0,3980789700.0,2398701699.0
2018-01-23,'603987,艙肅應,12.39,12.41,12.27,12.35,12.36,0.03,0.2427,0.8662,1646365,20309155.0,3908239650.0,2354985265.5
2018-01-22,'603987,艙肅應,12.36,12.38,12.02,12.16,12.26,0.1,0.8157,0.859,1632803,19974669.0,3898776600.0,2349283122.0
2018-01-19,'603987,艙肅應,12.26,12.48,12.21,12.33,12.32,-0.06,-0.487,0.9769,1856850,22938608.0,3867233100.0,2330275977.0
2018-01-18,'603987,艙肅應,12.32,12.41,12.22,12.28,12.29,0.03,0.2441,0.9734,1850095,22786893.0,3886159200.0,2341680264.0
2018-01-17,'603987,艙肅應,12.29,12.37,11.95,11.96,12.04,0.25,2.0764,1.1535,2192458,26755741.0,3876696150.0,2335978120.5
2018-01-16,'603987,艙肅應,12.04,12.25,11.7,11.83,11.83,0.21,1.7751,0.9955,1892242,22788113.0,3797837400.0,2288460258.0
2018-01-15,'603987,艙肅應,11.83,12.29,11.8,12.22,12.26,-0.43,-3.5073,1.1426,2171764,26126998.0,3731596050.0,2248545253.5
2018-01-12,'603987,艙肅應,12.26,12.49,12.18,12.49,12.48,-0.22,-1.7628,1.0706,2034979,25100693.0,3867233100.0,2330275977.0
2018-01-11,'603987,艙肅應,12.48,12.52,12.14,12.4,12.4,0.08,0.6452,1.565,2974666,36777195.0,3936628800.0,2372091696.0
2018-01-10,'603987,艙肅應,12.4,12.6,12.25,12.6,12.64,-0.24,-1.8987,2.0178,3835256,47414872.0,3911394000.0,2356885980.0
2018-01-09,'603987,艙肅應,12.64,12.88,11.96,11.99,11.99,0.65,5.4212,3.6586,6953978,86671560.0,3987098400.0,2402503128.0
2018-01-08,'603987,艙肅應,11.99,12.18,11.95,12.18,12.15,-0.16,-1.3169,0.9145,1738113,20854500.0,3782065650.0,2278956685.5
2018-01-05,'603987,艙肅應,12.15,12.27,12.03,12.27,12.29,-0.14,-1.1391,1.0531,2001700,24319697.0,3832535250.0,2309368117.5
2018-01-04,'603987,艙肅應,12.29,12.3,12.12,12.17,12.18,0.11,0.9031,1.3133,2496150,30485533.0,3876696150.0,2335978120.5
2018-01-03,'603987,艙肅應,12.18,12.23,12.07,12.16,12.17,0.01,0.0822,1.1307,2149101,26105172.0,3841998300.0,2315070261.0
2018-01-02,'603987,艙肅應,12.17,12.33,12.08,12.18,12.18,-0.01,-0.0821,0.8935,1698300,20636043.0,3838843950.0,2313169546.5
2017-12-29,'603987,艙肅應,12.18,12.43,12.12,12.37,12.43,-0.25,-2.0113,1.3564,2578213,31503091.0,3841998300.0,2315070261.0
2017-12-28,'603987,艙肅應,12.43,12.65,11.9,11.93,12.08,0.35,2.8974,1.9111,3632467,44534610.0,3920857050.0,2362588123.5
2017-12-27,'603987,艙肅應,12.08,12.15,11.79,11.94,11.95,0.13,1.0879,1.09,2071704,24620399.0,3810454800.0,2296063116.0
2017-12-26,'603987,艙肅應,11.95,11.97,11.56,11.56,11.63,0.32,2.7515,1.2932,2457912,29093342.0,3769448250.0,2271353827.5
2017-12-25,'603987,艙肅應,11.63,11.78,11.37,11.6,11.69,-0.06,-0.5133,0.8036,1527350,17657774.0,3668509050.0,2210530963.5
2017-12-22,'603987,艙肅應,11.69,11.93,11.61,11.61,11.69,0.0,0.0,0.8163,1551586,18314180.0,3687435150.0,2221935250.5
2017-12-21,'603987,艙肅應,11.69,11.8,11.41,11.8,11.8,-0.11,-0.9322,1.0542,2003671,23211185.0,3687435150.0,2221935250.5
2017-12-20,'603987,艙肅應,11.8,12.0,11.79,11.94,12.0,-0.2,-1.6667,0.9377,1782315,21125823.0,3722133000.0,2242843110.0
2017-12-19,'603987,艙肅應,12.0,12.18,11.96,12.02,12.08,-0.08,-0.6623,1.1489,2183657,26294164.0,3785220000.0,2280857400.0
2017-12-18,'603987,艙肅應,12.08,12.6,11.95,12.6,12.59,-0.51,-4.0508,1.4616,2778150,33873033.0,3810454800.0,2296063116.0
2017-12-15,'603987,艙肅應,12.59,12.7,12.3,12.4,12.41,0.18,1.4504,0.9098,1729243,21743750.0,3971326650.0,2392999555.5
2017-12-14,'603987,艙肅應,12.41,12.59,12.32,12.5,12.54,-0.13,-1.0367,0.5896,1120692,13906134.0,3914548350.0,2358786694.5
2017-12-13,'603987,艙肅應,12.54,12.6,12.39,12.47,12.41,0.13,1.0475,0.6031,1146304,14336278.0,3955554900.0,2383495983.0
2017-12-12,'603987,艙肅應,12.41,12.62,12.39,12.6,12.63,-0.22,-1.7419,0.7428,1411831,17573095.0,3914548350.0,2358786694.5
2017-12-11,'603987,艙肅應,12.63,12.81,12.57,12.57,12.57,0.06,0.4773,0.898,1706888,21645489.0,3983944050.0,2400602413.5
2017-12-08,'603987,艙肅應,12.57,12.66,12.2,12.2,12.13,0.44,3.6274,1.3579,2580900,32287689.0,3965017950.0,2389198126.5
2017-12-07,'603987,艙肅應,12.13,12.3,12.09,12.16,12.15,-0.02,-0.1646,0.5568,1058250,12880165.0,3826226550.0,2305566688.5
2017-12-06,'603987,艙肅應,12.15,12.17,11.82,11.89,11.83,0.32,2.705,0.7339,1394938,16727861.0,3832535250.0,2309368117.5
